DATE,SP500
2014-09-17 00:00:00,2001.57
2014-09-18 00:00:00,2011.36
2014-09-19 00:00:00,2010.4
2014-09-22 00:00:00,1994.29
2014-09-23 00:00:00,1982.77
2014-09-24 00:00:00,1998.3
2014-09-25 00:00:00,1965.99
2014-09-26 00:00:00,1982.85
2014-09-29 00:00:00,1977.8
2014-09-30 00:00:00,1972.29
2014-10-01 00:00:00,1946.16
2014-10-02 00:00:00,1946.17
2014-10-03 00:00:00,1967.9
2014-10-06 00:00:00,1964.82
2014-10-07 00:00:00,1935.1
2014-10-08 00:00:00,1968.89
2014-10-09 00:00:00,1928.21
2014-10-10 00:00:00,1906.13
2014-10-13 00:00:00,1874.74
2014-10-14 00:00:00,1877.7
2014-10-15 00:00:00,1862.49
2014-10-16 00:00:00,1862.76
2014-10-17 00:00:00,1886.76
2014-10-20 00:00:00,1904.01
2014-10-21 00:00:00,1941.28
2014-10-22 00:00:00,1927.11
2014-10-23 00:00:00,1950.82
2014-10-24 00:00:00,1964.58
2014-10-27 00:00:00,1961.63
2014-10-28 00:00:00,1985.05
2014-10-29 00:00:00,1982.3
2014-10-30 00:00:00,1994.65
2014-10-31 00:00:00,2018.05
2014-11-03 00:00:00,2017.81
2014-11-04 00:00:00,2012.1
2014-11-05 00:00:00,2023.57
2014-11-06 00:00:00,2031.21
2014-11-07 00:00:00,2031.92
2014-11-10 00:00:00,2038.26
2014-11-11 00:00:00,2039.68
2014-11-12 00:00:00,2038.25
2014-11-13 00:00:00,2039.33
2014-11-14 00:00:00,2039.82
2014-11-17 00:00:00,2041.32
2014-11-18 00:00:00,2051.8
2014-11-19 00:00:00,2048.72
2014-11-20 00:00:00,2052.75
2014-11-21 00:00:00,2063.5
2014-11-24 00:00:00,2069.41
2014-11-25 00:00:00,2067.03
2014-11-26 00:00:00,2072.83
2014-11-27 00:00:00,.
2014-11-28 00:00:00,2067.56
2014-12-01 00:00:00,2053.44
2014-12-02 00:00:00,2066.55
2014-12-03 00:00:00,2074.33
2014-12-04 00:00:00,2071.92
2014-12-05 00:00:00,2075.37
2014-12-08 00:00:00,2060.31
2014-12-09 00:00:00,2059.82
2014-12-10 00:00:00,2026.14
2014-12-11 00:00:00,2035.33
2014-12-12 00:00:00,2002.33
2014-12-15 00:00:00,1989.63
2014-12-16 00:00:00,1972.74
2014-12-17 00:00:00,2012.89
2014-12-18 00:00:00,2061.23
2014-12-19 00:00:00,2070.65
2014-12-22 00:00:00,2078.54
2014-12-23 00:00:00,2082.17
2014-12-24 00:00:00,2081.88
2014-12-25 00:00:00,.
2014-12-26 00:00:00,2088.77
2014-12-29 00:00:00,2090.57
2014-12-30 00:00:00,2080.35
2014-12-31 00:00:00,2058.9
2015-01-01 00:00:00,.
2015-01-02 00:00:00,2058.2
2015-01-05 00:00:00,2020.58
2015-01-06 00:00:00,2002.61
2015-01-07 00:00:00,2025.9
2015-01-08 00:00:00,2062.14
2015-01-09 00:00:00,2044.81
2015-01-12 00:00:00,2028.26
2015-01-13 00:00:00,2023.03
2015-01-14 00:00:00,2011.27
2015-01-15 00:00:00,1992.67
2015-01-16 00:00:00,2019.42
2015-01-19 00:00:00,.
2015-01-20 00:00:00,2022.55
2015-01-21 00:00:00,2032.12
2015-01-22 00:00:00,2063.15
2015-01-23 00:00:00,2051.82
2015-01-26 00:00:00,2057.09
2015-01-27 00:00:00,2029.55
2015-01-28 00:00:00,2002.16
2015-01-29 00:00:00,2021.25
2015-01-30 00:00:00,1994.99
2015-02-02 00:00:00,2020.85
2015-02-03 00:00:00,2050.03
2015-02-04 00:00:00,2041.51
2015-02-05 00:00:00,2062.52
2015-02-06 00:00:00,2055.47
2015-02-09 00:00:00,2046.74
2015-02-10 00:00:00,2068.59
2015-02-11 00:00:00,2068.53
2015-02-12 00:00:00,2088.48
2015-02-13 00:00:00,2096.99
2015-02-16 00:00:00,.
2015-02-17 00:00:00,2100.34
2015-02-18 00:00:00,2099.68
2015-02-19 00:00:00,2097.45
2015-02-20 00:00:00,2110.3
2015-02-23 00:00:00,2109.66
2015-02-24 00:00:00,2115.48
2015-02-25 00:00:00,2113.86
2015-02-26 00:00:00,2110.74
2015-02-27 00:00:00,2104.5
2015-03-02 00:00:00,2117.39
2015-03-03 00:00:00,2107.78
2015-03-04 00:00:00,2098.53
2015-03-05 00:00:00,2101.04
2015-03-06 00:00:00,2071.26
2015-03-09 00:00:00,2079.43
2015-03-10 00:00:00,2044.16
2015-03-11 00:00:00,2040.24
2015-03-12 00:00:00,2065.95
2015-03-13 00:00:00,2053.4
2015-03-16 00:00:00,2081.19
2015-03-17 00:00:00,2074.28
2015-03-18 00:00:00,2099.5
2015-03-19 00:00:00,2089.27
2015-03-20 00:00:00,2108.1
2015-03-23 00:00:00,2104.42
2015-03-24 00:00:00,2091.5
2015-03-25 00:00:00,2061.05
2015-03-26 00:00:00,2056.15
2015-03-27 00:00:00,2061.02
2015-03-30 00:00:00,2086.24
2015-03-31 00:00:00,2067.89
2015-04-01 00:00:00,2059.69
2015-04-02 00:00:00,2066.96
2015-04-03 00:00:00,.
2015-04-06 00:00:00,2080.62
